ATM PK;BRANCH FK;LOCATION FK;ORG ID;A TYPE;a type desc;A PLACE;A NAME;A STATUS;a status desc;BOBJECT NAME;WHOURS TYPE;a whours type desc;REMARK;WEB NOTE;WEB STATUS;a web status desc;LOCATION PK;COUNTY ID;COUNTY NAME;PLACE ZIP;PLACE NAME;STREET NAME;HOUSE N;HOUSE SUBN;ADDRESS LONG;address full;housenum full;X;Y;L STATUS;l status desc;;LONG;LAT
21183;;1;64247;1;Bankomat;Baöka;Zvonimirova 121;1;U funkciji (radi);Trgovina Krk d.d.;2;u radno vrijeme objekta;;;1;Prikaûi na karti;1;8;Primorsko-goranska ûupanija;51523;Baöka;Zvonimirova;121;;Zvonimirova 121;Baöka, Zvonimirova 121;121;2362858.13;4981065.2;1;Prikaûi na karti;;" 14∞ 45' 22""";" 44∞ 58' 11"""
21184;;2;89363;1;Bankomat;Baöka Voda;Obala Sv. Nikole 31;1;U funkciji (radi);TZ Baöka Voda;1;0-24 h;;;1;Prikaûi na karti;2;17;Splitsko-dalmatinska ûupanija;21320;Baöka Voda;Obala Sv. Nikole;31;;Obala Sv. Nikole 31;Baöka Voda, Obala Sv. Nikole 31;31;2536720.8;4800693.36;1;Prikaûi na karti;;" 16∞ 56' 54""";" 43∞ 21' 30"""
21185;;3;10090;1;Bankomat;BedekovËina;S. RadiÊa 1;1;U funkciji (radi);FX Foto studio;1;0-24 h;;;1;Prikaûi na karti;3;2;Krapinsko-zagorska ûupanija;49221;BedekovËina;S. RadiÊa;1;;S. RadiÊa 1;BedekovËina, S. RadiÊa 1;1;2461214.14;5098713.15;1;Prikaûi na karti;;" 15∞ 59' 38""";" 46∞ 2' 27"""
21001;10001;4;86446;1;Bankomat;BedekovËina;Trg A. StarËeviÊa 6;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;4;2;Krapinsko-zagorska ûupanija;49221;BedekovËina;Trg A. StarËeviÊa;6;;Trg A. StarËeviÊa 6;BedekovËina, Trg A. StarËeviÊa 6;6;2461548.53;5098913.76;1;Prikaûi na karti;;" 15∞ 59' 53""";" 46∞ 2' 33"""
24001;10001;4;;4;Ureaj za zaprimanje naloga;BedekovËina;Trg A. StarËeviÊa 6;1;U funkciji (radi);ZABA Poslovnica;2;u radno vrijeme objekta;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;4;2;Krapinsko-zagorska ûupanija;49221;BedekovËina;Trg A. StarËeviÊa;6;;Trg A. StarËeviÊa 6;BedekovËina, Trg A. StarËeviÊa 6;6;2461548.53;5098913.76;1;Prikaûi na karti;;" 15∞ 59' 53""";" 46∞ 2' 33"""
21186;;5;59731;1;Bankomat;Bednja;Ljudevita Gaja 20;1;U funkciji (radi);Izvor d.o.o.;1;0-24 h;;;1;Prikaûi na karti;5;5;Varaûdinska ûupanija;42253;Bednja;Ljudevita Gaja;20;;Ljudevita Gaja 20;Bednja, Ljudevita Gaja 20;20;2460213.81;5119493.68;1;Prikaûi na karti;;" 15∞ 58' 45""";" 46∞ 13' 40"""
21187;;6;62940;1;Bankomat;Beli Manastir;Trg Slobode 33;1;U funkciji (radi);Ghetaldus optika d.d.;1;0-24 h;;;1;Prikaûi na karti;6;14;OsjeËko-baranjska ûupanija;31300;Beli Manastir;Trg Slobode;33;;Trg Slobode 33;Beli Manastir, Trg Slobode 33;33;2663612.99;5070425.2;1;Prikaûi na karti;;" 18∞ 35' 56""";" 45∞ 46' 5"""
21189;;8;62415;1;Bankomat;Benkovac;A. StarËeviÊa 8a;1;U funkciji (radi);Papirus;1;0-24 h;;;1;Prikaûi na karti;8;13;Zadarska ûupanija;23420;Benkovac;A. StarËeviÊa;8;A;A. StarËeviÊa 8a;Benkovac, A. StarËeviÊa 8/A;8/A;2429116.02;4875842.91;1;Prikaûi na karti;;" 15∞ 36' 38""";" 44∞ 1' 56"""
21190;;9;34848;1;Bankomat;Beretinec;Trg hrvatskih branitelja 1;1;U funkciji (radi);OpÊina Beretinec;1;0-24 h;;;1;Prikaûi na karti;9;5;Varaûdinska ûupanija;42201;Beretinec;Trg hrvatskih branitelja;1;;Trg hrvatskih branitelja 1;Beretinec, Trg hrvatskih branitelja 1;1;2485462.97;5121696.82;1;Prikaûi na karti;;" 16∞ 18' 23""";" 46∞ 14' 55"""
21191;;10;66460;1;Bankomat;Bestovje;Prudnjaci 1;1;U funkciji (radi);Beber d.o.o.;1;0-24 h;;;1;Prikaûi na karti;10;1;ZagrebaËka ûupanija;10437;Bestovje;Prudnjaci;1;;Prudnjaci 1;Bestovje, Prudnjaci 1;1;2446715;5072814.98;1;Prikaûi na karti;;" 15∞ 48' 34""";" 45∞ 48' 24"""
21192;;11;57515;1;Bankomat;Bibinje;Trg F. Tumana 1;1;U funkciji (radi);OpÊina Bibinje;1;0-24 h;;;1;Prikaûi na karti;11;13;Zadarska ûupanija;23205;Bibinje;Trg F. Tumana;1;;Trg F. Tumana 1;Bibinje, Trg F. Tumana 1;1;2403285.29;4880401.06;1;Prikaûi na karti;;" 15∞ 17' 15""";" 44∞ 4' 13"""
21193;;12;31515;1;Bankomat;Biograd n/m;Obala P. Kreöimira IV bb;1;U funkciji (radi);Trinaestica;1;0-24 h;;;1;Prikaûi na karti;12;13;Zadarska ûupanija;23210;Biograd n/m;Obala P. Kreöimira IV;0;BB;Obala P. Kreöimira IV bb;Biograd n/m, Obala P. Kreöimira IV BB;BB;2415330.37;4865466.64;1;Prikaûi na karti;;" 15∞ 26' 25""";" 43∞ 56' 15"""
21194;;13;42032;1;Bankomat;Bjelovar;Andrije Hebranga 2a;1;U funkciji (radi);BILLA d.o.o.;1;0-24 h;;;1;Prikaûi na karti;13;7;Bjelovarsko-bilogorska ûupanija;43000;Bjelovar;Andrije Hebranga;2;A;Andrije Hebranga 2a;Bjelovar, Andrije Hebranga 2/A;2/A;2527608.8;5083784.2;1;Prikaûi na karti;;" 16∞ 51' 3""";" 45∞ 54' 25"""
21002;10002;14;81632;1;Bankomat;Bjelovar;Frana Supila 2;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;14;7;Bjelovarsko-bilogorska ûupanija;43000;Bjelovar;Frana Supila;2;;Frana Supila 2;Bjelovar, Frana Supila 2;2;1875040.38;5764169.5;1;Prikaûi na karti;;" 16∞ 50' 38""";" 45∞ 53' 56"""
24002;10201;14;;4;Ureaj za zaprimanje naloga;Bjelovar;Frana Supila 2;1;U funkciji (radi);ZABA Poslovnica;2;u radno vrijeme objekta;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;14;7;Bjelovarsko-bilogorska ûupanija;43000;Bjelovar;Frana Supila;2;;Frana Supila 2;Bjelovar, Frana Supila 2;2;1875040.38;5764169.5;1;Prikaûi na karti;;" 16∞ 50' 38""";" 45∞ 53' 56"""
25114;10002;14;;2;Dnevno-noÊni trezor;Bjelovar;Frana Supila 2;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;14;7;Bjelovarsko-bilogorska ûupanija;43000;Bjelovar;Frana Supila;2;;Frana Supila 2;Bjelovar, Frana Supila 2;2;1875040.38;5764169.5;1;Prikaûi na karti;;" 16∞ 50' 38""";" 45∞ 53' 56"""
21195;;15;54332;1;Bankomat;Bjelovar;J. Haulika 24;1;U funkciji (radi);Remuö d.o.o.;1;0-24 h;;;1;Prikaûi na karti;15;7;Bjelovarsko-bilogorska ûupanija;43000;Bjelovar;J. Haulika;24;;J. Haulika 24;Bjelovar, J. Haulika 24;24;2526979.6;5082619.6;1;Prikaûi na karti;;" 16∞ 50' 34""";" 45∞ 53' 47"""
