RBR,Adresa1,Bankomat se nalazi u poslovnici,Grad,Latituda,Longituda
1,Trg bana Josipa Jelačića 3,1,Zagreb,45.81341,15.976613
2,Trpinjska 9,0,Zagreb,45.814044,15.993663
3,Trakošćanska 6,0,Zagreb,45.801132,15.955153
4,Avenija Dubrava 43,1,Zagreb,45.827558,16.048343
5,Branimir Centar – Branimirova 29,0,Zagreb,45.805557,15.984946
7,Jarun – ulaz na Malo jezero; pokraj kafića Galleria,0,Zagreb,45.781365,15.93307
8,Jankomir; Škorpikova 11,1,Zagreb,45.806247,15.859451
9,Novi Zagreb-Sarajevska 6,1,Zagreb,45.769379,16.004773
10,Konzum-Stenjevac 9,0,Zagreb,45.81048,15.885935
11,Slavonska 6,1,Zagreb,45.793375,15.970109
12,Slavonska 6,0,Zagreb,45.793375,15.970109
13,Avenue Mall,0,Zagreb,45.777583,15.986288
14,Prečko; Petrovaradinska 7,1,Zagreb,45.794802,15.907637
15,Glavni kolodvor,0,Zagreb,45.804565,15.978788
16,Importanne Galleria,0,Zagreb,45.813442,15.985225
17,Lanište 17,0,Zagreb,45.772876,15.944748
18,Mercator; Ul. Grada Vukovara 269b,0,Zagreb,45.801861,16.002536
19,Slavonska avenija;benzinska pumpa Lukoil,0,Zagreb,45.804752,16.084387
20,City Center One; Jankomir 33,0,Zagreb,45.800217,15.872742
21,Autobusni kolodvor-Avenija Marina Držića 4,0,Zagreb,45.80452,15.993202
22,Šubićeva 64,0,Zagreb,45.814115,15.9967
23,Heinzelova 33a - Wustenrot,0,Zagreb,45.810912,16.001519
24,Ozaljska 4 - Fina,0,Zagreb,45.799894,15.953471
25,Oporovečka 14; Garden Mall,0,Zagreb,45.831104,16.036914
26,Siget 17; AK Siget,0,Zagreb,45.773257,15.968177
27,Slavonska avenija 6; DRIVE IN,1,Zagreb,45.793375,15.970109
28,Arena Centar; Lanište 32,0,Zagreb,45.771609,15.94305
29,Avenija Dubrovnik 15,1,Zagreb,45.777266,15.973263
30,Maksimirska 123,1,Zagreb,45.819304,16.012831
31,Trg bana Josipa Jelačića 3,1,Zagreb,45.81341,15.976613
32,Planinska 17 - Tržnica Volovčica,0,Zagreb,45.807264,16.03034
33,Ilica 251,1,Zagreb,45.81475,15.933332
34,Varšavska 6 - trgovačko-poslovni centar Cvjetno,0,Zagreb,45.811892,15.972951
35,Ozaljska 85,1,Zagreb,45.797731,15.943487
36,Pakoštanska 5 - Tržnica Jarun,0,Zagreb,45.789721,15.928039
37,Dobriše Cesarića 71 - Tržnica Špansko,0,Zagreb,45.802927,15.899363
38,Grgura Ninskog bb; - Importanne pothodnik,0,Zagreb,45.804931,15.97616
39,Barčev trg 16 - Tržnica Utrine,0,Zagreb,45.776952,15.996823
40,Stonska 1 - Središće,0,Zagreb,45.780409,15.985322
41,Maksimirska 1 - Konzum,0,Zagreb,45.815132,15.997328
