Oznaka bankomata;Adresa;Poštanski broj;Mjesto;Županija;Lokacija bankomata;Zemljopisna širina;Zemljopisna dužina;Uplatni modul
ATM050;JURIŠIÆEVA 4;10000;ZAGREB;GRAD ZAGREB;POSLOVNICA;45.812386;15.979078;TRUE
ATM051;PETRINJSKA;10000;ZAGREB;GRAD ZAGREB;POSLOVNICA;45.812359;15.979013;FALSE
ATM052;DANTEOV TRG 4;52100;PULA;ISTARSKA;POŠTANSKI URED;44.867123;13.844512;FALSE
ATM054;BRANIMIROVA 4;10000;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.805088;15.981342;FALSE
ATM055;OBALA KNEZA DOMAGOJA 3;21102;SPLIT;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.506279;16.441685;FALSE
ATM056;MATIJE GUPCA 19;49210;ZABOK;KRAPINSKO-ZAGORSKA;POŠTANSKI URED;46.029449;15.910606;FALSE
ATM057;V.VARIÆAKA 13;10010;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.765434;15.987875;FALSE
ATM058;KRALJA TOMISLAVA 9;21101;SPLIT;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.509983;16.438841;FALSE
ATM059;KORZO 13;51101;RIJEKA;PRIMORSKO-GORANSKA;POSLOVNICA;45.326542;14.442472;FALSE
ATM060;KRALJA STJEPANA DRŽISLAVA 1;23000;ZADAR;ZADARSKA;POSLOVNICA;44.109753;15.235441;TRUE
ATM061;TRG SLOBODE 9A;42000;VARAŽDIN;VARAŽDINSKA;POSLOVNICA;46.305882;16.336285;TRUE
ATM063;TRG POBJEDE 2;35101;SLAVONSKI BROD;BRODSKO-POSAVSKA;POŠTANSKI URED;45.157272;18.012342;FALSE
ATM064;TRG A. STARÈEVIÆA BB;31104;OSIJEK;OSJEÈKO-BARANJSKA;POŠTANSKI URED;45.561428;18.677006;FALSE
ATM067;OLAJNICA 19;32000;VUKOVAR;VUKOVARSKO-SRIJEMSKA;FINA;45.352062;18.999632;FALSE
ATM070;ISTARSKA 7;52103;PULA;ISTARSKA;POŠTANSKI URED;44.870621;13.848438;FALSE
ATM071;PINO BUDIÈIN 1;52441;POREÈ;ISTARSKA;POŠTANSKI URED;45.227242;13.59615;FALSE
ATM072;ZELENA LAGUNA;52442;POREÈ ZL;ISTARSKA;POŠTANSKI URED;45.198219;13.591182;FALSE
ATM073;1.SVIBNJA BR.1;52470;UMAG;ISTARSKA;POŠTANSKI URED;45.431763;13.522325;FALSE
ATM074;M. BENUSSI 4;52210;ROVINJ;ISTARSKA;POŠTANSKI URED;45.080906;13.639612;FALSE
ATM076;BODULSKA BB;51500;KRK;PRIMORSKO-GORANSKA;POŠTANSKI URED;45.026123;14.572699;FALSE
ATM077;IVANA SKOMERŽE 1;51260;CRIKVENICA;PRIMORSKO-GORANSKA;POŠTANSKI URED;45.172523;14.691339;FALSE
ATM078;I.K.SAKCINSKOG 1;44000;SISAK;SISAÈKO-MOSLAVAÈKA;FINA;45.487621;16.371195;FALSE
ATM080;ANTE STARÈEVIÆA BB;22104;ŠIBENIK;ŠIBENSKO-KNINSKA;POŠTANSKI URED;43.732243;15.896616;TRUE
ATM081;OBALA I.J.COTE 4;22211;VODICE;ŠIBENSKO-KNINSKA;POŠTANSKI URED;43.758354;15.776539;FALSE
ATM084;OBALA 2 BR.1;20270;VELA LUKA;DUBROVAÈKO-NERETVANSKA;POŠTANSKI URED;42.96418;16.716063;FALSE
ATM085;TRG 4.SVIBNJA 1;21300;MAKARSKA;SPLITSKO-DALMATINSKA;POSLOVNICA;43.295261;17.017609;FALSE
ATM086;DOMOVINSKOG RATA 53;21104;SPLIT;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.519211;16.447971;FALSE
ATM087;VINKOVAÈKA 8;21107;SPLIT;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.514488;16.45443;FALSE
ATM088;KRALJA BRANIMIRA 4;22300;KNIN;ŠIBENSKO-KNINSKA;FINA;44.039757;16.195692;FALSE
ATM089;KANIŠKA 4;53000;GOSPIÆ;LIÈKO-SENJSKA;FINA;44.54586;15.374851;FALSE
ATM090;FRANA GALOVIÆA;49000;KRAPINA;KRAPINSKO-ZAGORSKA;FINA;46.158909;15.874043;FALSE
ATM091;OTOKARA KERŠOVANIJA 7;40000;ÈAKOVEC;MEÐIMURSKA;FINA;46.387943;16.438681;FALSE
ATM092;BRDO 3;10340;VRBOVEC;ZAGREBAÈKA;FINA;45.884663;16.415956;FALSE
ATM095;OBALA KRALJA ZVONIMIRA 5;53270;SENJ;LIÈKO-SENJSKA;POŠTANSKI URED;44.991074;14.901162;FALSE
ATM097;MEŠTROVIÆEV TRG BB;10129;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.778957;15.996115;FALSE
ATM099;SLAVKA KOLARA 15;10410;VELIKA GORICA;ZAGREBAÈKA;POŠTANSKI URED;45.713417;16.070412;FALSE
ATM100;OZALJSKA 150;10110;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.797382;15.937128;FALSE
ATM101;SIGET 18C;10020;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.770615;15.968199;FALSE
ATM102;KENNEDYEV TRG 11;10142;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.814743;16.009119;FALSE
ATM103;TRG S.KONZULA 5;10135;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.806576;16.020342;FALSE
ATM104;ZAGREBAÈKA B.B.;42220;NOVI MAROF;VARAŽDINSKA;INICIJA D.O.O.;46.159828;16.335255;FALSE
ATM105;D. ŠVAJCARA 5;10290;ZAPREŠIÆ;ZAGREBAÈKA;POŠTANSKI URED;45.858814;15.803275;FALSE
ATM106;TOMASSINIJEVA 13;52105;PULA;ISTARSKA;POŠTANSKI URED;44.857475;13.839372;FALSE
ATM108;ZAGREBAÈKA 2/A;49250;ZLATAR;KRAPINSKO-ZAGORSKA;TEKSTIL D.O.O.;46.091389;16.077162;FALSE
ATM109;ULICA VILE VELEBITA BB;10000;ZAGREB;GRAD ZAGREB;KONZUM-AGROKOR;45.839161;16.061991;FALSE
ATM110;BIHAÆKA 2;21000;SPLIT;SPLITSKO-DALMATINSKA;POSLOVNICA;43.512535;16.44207;FALSE
ATM111;ZAGORSKA 27;10000;ZAGREB;GRAD ZAGREB;KONZUM-AGROKOR;45.807026;15.941066;FALSE
ATM113;BAŠTIJANOVA-DRVINJE;10000;ZAGREB;GRAD ZAGREB;KONZUM-AGROKOR;45.8008;15.929618;FALSE
ATM114;TRG SVETOG TROJSTVA 19;34000;POŽEGA;POŽEŠKO-SLAVONSKA;FINA;45.330894;17.677132;FALSE
ATM115;KAMENITA VRATA 8;34000;POŽEGA;POŽEŠKO-SLAVONSKA;POŠTANSKI URED;45.334892;17.677946;FALSE
ATM116;TRG KRALJATOMISLAVA 19;44320;KUTINA;SISAÈKO-MOSLAVAÈKA;POŠTANSKI URED;45.482597;16.776274;FALSE
ATM117;B.I.MAŽURANIÆA 5;22103;ŠIBENIK;ŠIBENSKO-KNINSKA;POŠTANSKI URED;43.743446;15.89859;FALSE
ATM118;TRG S. RADIÆA 9;22202;PRIMOŠTEN;ŠIBENSKO-KNINSKA;POŠTANSKI URED;43.588192;15.925241;FALSE
ATM119;VIDICI BB;22000;ŠIBENIK;ŠIBENSKO-KNINSKA;KONZUM-AGROKOR;43.723228;15.908546;FALSE
ATM120;PRILAZ BARUNA FILIPOVIÆA 54;10109;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.811661;15.944778;FALSE
ATM121;LJUDEVITA POSAVSKOG BB;31106;OSIJEK;OSJEÈKO-BARANJSKA;POŠTANSKI URED;45.564037;18.652843;FALSE
ATM122;PAPANDOPULOVA 1;21114;SPLIT;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.507423;16.471371;FALSE
ATM123;TRG A. STEPINCA 1;21322;BRELA;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.368057;16.931669;FALSE
ATM124;MATICE HRVATSKE 14A;43000;BJELOVAR;BJELOVARSKO-BILOGORSKA;KONZUM;45.895714;16.842106;FALSE
ATM126;ALBAHARIJEVA 7;10124;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.791061;15.950818;FALSE
ATM127;FRANJE TUÐMANA 19;21216;KAŠTEL STARI;SPLITSKO-DALMATINSKA;PRIVAT PROSTOR;43.553432;16.353085;FALSE
ATM128;TRG KRALJA TOMISLAVA 6;33000;VIROVITICA;VIROVITIÈKO-PODRAVSKA ;NARODNE NOVINE;45.834801;17.387098;FALSE
ATM129;KOPARSKA 64;52104;PULA;ISTARSKA;POŠTANSKI URED;44.876965;13.861141;FALSE
ATM131;TURININA BB;10000;ZAGREB;GRAD ZAGREB;KONZUM-AGROKOR;45.772762;15.989699;FALSE
ATM132;KRALJA ZVONIMIRA 99;31431;ÈEPIN;OSJEÈKO-BARANJSKA;POŠTANSKI URED;45.523354;18.564793;FALSE
ATM135;SVETONEDJELJSKA 22;10430;SAMOBOR;ZAGREBAÈKA;TRGOVINA BEBER;45.799294;15.721757;FALSE
ATM136;ALOJZIJA STEPINCA 17;31000;OSIJEK;OSJEÈKO-BARANJSKA;POŠTANSKI URED;45.560112;18.685974;TRUE
ATM138;OBALA SV. NIKOLE;21320;BAŠKA VODA;SPLITSKO-DALMATINSKA;KONZUM-AGROKOR;43.355873;16.949297;FALSE
ATM139;N. ZRINSKOG 86;35103;SLAVONSKI BROD;BRODSKO-POSAVSKA;POŠTANSKI URED;45.158787;18.023918;FALSE
ATM140;TRG HRV. PROLJEÆA BB;35000;SLAVONSKI BROD;BRODSKO-POSAVSKA;POŠTANSKI URED;45.162903;18.009172;FALSE
ATM141;BRAÆE RADIÆA 8A;42000;VARAŽDIN;VARAŽDINSKA;KONZUM -AGROKOR;46.305408;16.32959;FALSE
ATM142;MIROSLAVA KRLEŽE 1;42000;VARAŽDIN;VARAŽDINSKA;POŠTANSKI URED;46.297966;16.338472;FALSE
ATM143;TRG SV. TROJSTVA BB;42230;LUDBREG;VARAŽDINSKA;POŠTANSKI URED;46.250565;16.61931;FALSE
ATM144;VLADIMIRA NAZORA 2;42240;IVANEC;VARAŽDINSKA;POŠTANSKI URED;46.225098;16.12484;FALSE
ATM145;IVANA I STJEPANA VIDULIÆA 38;51553;MALI LOŠINJ;PRIMORSKO-GORANSKA;POŠTANSKI URED;44.533718;14.468093;FALSE
ATM146;OBALA M. TITA BB;52221;RABAC;ISTARSKA;POŠTANSKI URED;45.079445;14.158802;FALSE
ATM147;M. VLAŠIÆA 20;52440;POREÈ;ISTARSKA;NARODNE NOVINE;45.23024;13.606106;FALSE
