ID,SLIKA,IME,GRAD,ADRESA,MJESTO,GEOGR. ŠIRINA,GEOGR. DUŽINA,LOKACIJA,TIP,USLUGE,ŽUPANIJA
91,(BLOB),POŠTANSKI URED  TURKULINOVA 48 PETRINJA,PETRINJA,TURKULINOVA 48,,45.441856,16.283636,POŠTANSKI URED,BANKOMAT,,SISAČKO-MOSLAVAČKA ŽUPANIJA
92,(BLOB),POŠTANSKI URED    SJENJAK137  OSIJEK,OSIJEK,SJENJAK 137,,45.551033,18.695019,POŠTANSKI URED,BANKOMAT,,OSJEČKO-BARANJSKA ŽUPANIJA
93,(BLOB),FINA    VLADIMIRA NAZORA 1  SLATINA,SLATINA,VLADIMIRA NAZORA 1,,45.702881,17.701414,FINA,BANKOMAT,,VIROVITIČKO-PODRAVSKA ŽUPANIJA
94,(BLOB),POŠTANSKI URED    KRALJA TOMISLAVA B.B.  NOVA GRADIŠKA,NOVA GRADIŠKA,KRALJA TOMISLAVA B.B.,,45.258945,17.381336,POŠTANSKI URED,BANKOMAT,,BRODSKO-POSAVSKA ŽUPANIJA
95,(BLOB),LONIA   TRG GROFOVA  ERDODYA BB  POPOVAČA,POPOVAČA,TRG GROFOVA  ERDODYA BB,,45.571243,16.628107,LONIA,BANKOMAT,,SISAČKO-MOSLAVAČKA ŽUPANIJA
96,(BLOB),"POSLOVNICA - INDOOR    JURIŠIĆEVA 4  ZAGREB, CENTAR (UŽI)",ZAGREB,JURIŠIĆEVA 4,CENTAR (UŽI,45.812328,15.979142,POSLOVNICA - INDOOR,BANKOMAT,,GRAD ZAGREB
97,(BLOB),"TISAK    SLAVONSKA AVENIJA 2  ZAGREB, CENTAR (ŠIRI)",ZAGREB,SLAVONSKA AVENIJA 2,CENTAR (ŠIRI),45.793755,15.959648,TISAK,BANKOMAT,,GRAD ZAGREB
98,(BLOB),"POŠTANSKI URED   DUBRAVA 53  ZAGREB, DUBRAVA",ZAGREB,DUBRAVA 53,,45.830196,16.054672,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
99,(BLOB),FINA  FRANA KURELCA 8 RIJEKA,RIJEKA,FRANA KURELCA 8,,45.328613,14.440665,FINA,BANKOMAT,,PRIMORSKO-GORANSKA ŽUPANIJA
100,(BLOB),POŠTANSKI URED  DOMAGOJEVA OBALA 1 NOVALJA,NOVALJA,DOMAGOJEVA OBALA 1,,44.55658,14.882848,POŠTANSKI URED,BANKOMAT,,LIČKO-SENJSKA ŽUPANIJA
101,(BLOB),BOROVO STANDARD  BLAGE ZADRE 2 BOROVO,BOROVO,BLAGE ZADRE 2,,45.375854,18.963314,BOROVO STANDARD,BANKOMAT,,VUKOVARSKO-SRIJEMSKA ŽUPANIJA
102,(BLOB),PLAVI 9    TRG NIKOLE ILOČKOG 1  ILOK,ILOK,TRG NIKOLE ILOČKOG 1,,45.223518,19.369267,PLAVI 9,BANKOMAT,,VUKOVARSKO-SRIJEMSKA ŽUPANIJA
103,(BLOB),"POŠTANSKI URED    MEKSIČKA BB  ZAGREB, GAJNICE",ZAGREB,MEKSIČKA BB,,45.814846,15.873935,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
104,(BLOB),POŠTANSKI URED  J. ZORIĆA 26 DUGO SELO,DUGO SELO,J. ZORIĆA 26,,45.805363,16.235407,POŠTANSKI URED,BANKOMAT,,ZAGREBAČKA ŽUPANIJA
105,(BLOB),POŠTANSKI URED  KRALJA TOMISLAVA 2  JASTREBARSKO,JASTREBARSKO,KRALJA TOMISLAVA 2,,45.674179,15.653694,POŠTANSKI URED,BANKOMAT,,ZAGREBAČKA ŽUPANIJA
106,(BLOB),"POŠTANSKI URED BRANIMIROVA 4, ZAPADNI ULAZ ZAGREB CENTAR (UŽI)",ZAGREB,BRANIMIROVA 4 ZAPADNI ULAZ,CENTAR (UŽI),45.80476,15.981224,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
107,,POŠTANSKI URED  NIKOLE PAVIĆA 14 ČAKOVEC,ČAKOVEC,NIKOLE PAVIĆA 14,,46.379452,16.443508,POŠTANSKI URED,BANKOMAT,,MEĐIMURSKA ŽUPANIJA
373,(BLOB),POŠTANSKI URED   BRANIMIROVA 4/I   ZAGREB - CENTAR,ZAGREB,BRANIMIROVA 4/I,,45.804909,15.980891,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
109,(BLOB),POSLOVNICA  STROSSMAJERA 4 VUKOVAR,VUKOVAR,STROSSMAJERA 4,,45.352055,19.002743,POSLOVNICA,BANKOMAT,,VUKOVARSKO-SRIJEMSKA ŽUPANIJA
