CONT_ID,CONT_IMG,CONT_NAME,CONT_CITY,CONT_ADDRESS,CONT_PLACE,CONT_LATITUDE,CONT_LONGITUDE,CONT_LOCATION,CONT_TYPE,CONT_PHONE,CONT_FAX,CONT_SERVICES,CONT_WORKTIME,CONT_ZUPANIJA
265,(BLOB),POSLOVNICA ZAGREB - SESVETE,10 360 ZAGREB,TRG D. DOMJANIĆA 8,,45.827091,16.109602,POSLOVNICA ZAGREB - SESVETE,POSLOVNICA,01 2019 270,01 2019 287,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00,Ljetno radno vrijeme   od 30. srpnja do 1. rujna 2012. ponedjeljak: 13.00 - 19.00  uto, sri, čet. i pet.: 8.00 - 14.00,Subota: 8.00 - 12.00",GRAD ZAGREB
266,(BLOB),POSLOVNICA ZAGREB - MAKSIMIRSKA,10 000 ZAGREB,MAKSIMIRSKA 107,,45.818325,16.010469,POSLOVNICA ZAGREB - MAKSIMIRSKA,POSLOVNICA,01 2383 782,01 2383 789,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00",GRAD ZAGREB
267,(BLOB),POSLOVNICA ZAGREB - SAVSKA,10 000 ZAGREB,SAVSKA 58,,45.798969,15.961558,POSLOVNICA ZAGREB - SAVSKA,POSLOVNICA,01 5553 503,01 5553 506,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00",GRAD ZAGREB
268,(BLOB),POSLOVNICA ZAPREŠIĆ,10 290 ZAPREŠIĆ,DRAGE ŠVAJCARA 5,,45.858814,15.803275,POSLOVNICA ZAPREŠIĆ,POSLOVNICA,01 3340 271,01 3340 287,"kunska štednja, devizna štednja,tekući računi,žiro računi,platni promet,     krediti,internet bankarstvo,SMS usluge,stambena štednja,investicijsko bankarstvo,mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.30,Ljetno radno vrijeme   od 2. srpnja do 18. kolovoza 2012.:  pon, uto, čet, pet: 8.00 - 15.00  sri: 12.00 - 19.00,Sub: ne radi",ZAGREBAČKA ŽUPANIJA
269,(BLOB),POSLOVNICA VELIKA GORICA,10 410 VELIKA GORICA,TRG KRALJA TOMISLAVA 13,,45.713535,16.075573,POSLOVNICA VELIKA GORICA,POSLOVNICA,01 6238 600,01 6238 614,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00",ZAGREBAČKA ŽUPANIJA
270,(BLOB),"POSLOVNICA STRMEC, Hoto-centar",10 434 STRMEC,Ulica dr. FRANJE TUĐMANA 4,,45.803288,15.793018,"POSLOVNICA STRMEC, HOTO-CENTAR",POSLOVNICA,01 3369 650,01 3369 660,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon, uto, čet, pet.8.00 - 15.00 Sri.12.00 - 19.00",KRAPINSKO-ZAGORSKA ŽUPANIJA
271,(BLOB),POSLOVNICA VARAŽDIN,42 000 VARAŽDIN,TRG SLOBODE 9a,,46.305882,16.336285,POSLOVNICA VARAŽDIN,POSLOVNICA,042 215 320,042 215 330,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00 ,Ljetno radno vrijeme  od 2. srpnja do 18. kolovoza 2012.  ponedjeljak - petak: 8.00 - 16.00 ,Subota: 8.00 - 12.00",VARAŽDINSKA ŽUPANIJA
272,(BLOB),POSLOVNICA VIROVITICA,33 000 VIROVITICA,TRG KRALJA ZVONIMIRA 3,,45.834938,17.383139,POSLOVNICA VIROVITICA,POSLOVNICA,033 740 060,033 740 068,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00 ,Ljetno radno vrijeme   2. srpnja do 18. kolovoza 2012.  pon, uto, čet, pet.: 8.00 - 15.30  srijeda: 9.00 - 16.30,Subota: ne radi ",VIROVITIČKO-PODRAVSKA ŽUPANIJA
273,(BLOB),POSLOVNICA SLAVONSKI BROD,35 000 SLAVONSKI BROD,M. GUPCA 3,,45.155743,18.014402,POSLOVNICA SLAVONSKI BROD,POSLOVNICA,035 212 530,035 212 539,"kunska štednja, devizna štednja,tekući računi,žiro računi,platni promet,krediti,internet bankarstvo,SMS usluge,stambena štednja,investicijsko bankarstvo,poslovanje s poslovnim subjektima,mjenjačnica","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00",BRODSKO-POSAVSKA ŽUPANIJA
274,(BLOB),POSLOVNICA VINKOVCI,32 100 VINKOVCI,TRG Dr. FRANJE TUĐMANA 2,,45.287491,18.802382,POSLOVNICA VINKOVCI,POSLOVNICA,032 455 503,032 455 508,"kunska štednja, devizna štednja,tekući računi,žiro računi,platni promet,krediti,internet bankarstvo, SMS usluge, stambena štednja, investicijsko bankarstvo,sefovi,mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00 ,Ljetno radno vrijeme  od 9. srpnja do 24. kolovoza 2012.  pon, uto, čet, pet: 8.00 - 14.00  sri: 13.00 - 19.00,Sub: 8.00 - 12.00",VUKOVARSKO-SRIJEMSKA ŽUPANIJA
