,,,,,,,,,,,,,,,,,,,,,,,,,
BRANCH PK,BRANCH ID2,LOCATION FK,ORG ID,B TYPE,B NAME,B STATUS,REGION NAME,PHONE,REMARK,WEB LABEL,WEB NOTE,WEB STATUS,COUNTY ID,COUNTY NAME,OLS PLACE ID,OLS PLACE NAME,PLACE ZIP,PLACE NAME,STREET NAME,HOUSE N,HOUSE SUBN,X,Y,LONG,LAT
10001,,4,14624,1,Trg A. Starčevića 6,1,Krapinsko- zagorska županija,049/ 329-775,,Građani Županije,,1,2,Krapinsko-zagorska županija,151,Bedekovčina,49221,Bedekovčina,Trg A. Starčevića,6,,2461548.53,5098913.76," 15° 59' 53"""," 46° 2' 33"""
10002,10201,14,14619,1,Frana Supila 2,1,Bjelovarsko- bilogorska županija,043/ 222-600,,Građani Županije,,1,7,Bjelovarsko-bilogorska županija,544,Bjelovar,43000,Bjelovar,Frana Supila,2,,1875040.38,5764169.5," 16° 50' 38"""," 45° 53' 56"""
10201,10002,14,14629,2,Frana Supila 2,1,Regija Središnja Hrvatska,,,Pravne,,1,7,Bjelovarsko-bilogorska županija,544,Bjelovar,43000,Bjelovar,Frana Supila,2,,1875040.38,5764169.5," 16° 50' 38"""," 45° 53' 56"""
10202,10003,33,14719,2,Vinodolska ulica 6,1,Regija Kvarner,,,Pravne,,1,8,Primorsko-goranska županija,1090,Crikvenica,51260,Crikvenica,Vinodolska,6,,2358285.43,5003832.6," 14° 41' 30"""," 45° 10' 25"""
10003,10202,33,14717,1,Vinodolska ulica 6,1,Primorsko- goranska županija,051/ 353-975,,Građani Županije,,1,8,Primorsko-goranska županija,1090,Crikvenica,51260,Crikvenica,Vinodolska,6,,2358285.43,5003832.6," 14° 41' 30"""," 45° 10' 25"""
10004,10203,35,15817,1,Ulica kralja Tomislava 5,1,Međimurska županija,040/ 650-252,,Građani Županije,,1,20,Međimurska županija,1601,Čakovec,40000,Čakovec,Kralja Tomislava,5,,2495521.1,5137425.3," 16° 26' 12"""," 46° 23' 25"""
10203,10004,35,15816,2,Ulica kralja Tomislava 5,1,Regija Sjeverna Hrvatska,,,Pravne,,1,20,Međimurska županija,1601,Čakovec,40000,Čakovec,Kralja Tomislava,5,,2495521.1,5137425.3," 16° 26' 12"""," 46° 23' 25"""
10005,,38,15808,1,Ulica Matice Hrvatske 10,1,Međimurska županija,040/ 650-204,,Građani Županije,,1,20,Međimurska županija,1601,Čakovec,40000,Čakovec,Ulica Matice Hrvatske,10,,2495413.9,5137285.3," 16° 26' 7"""," 46° 23' 20"""
10006,,48,14603,1,Toplička cesta 10,1,Krapinsko- zagorska županija,049/ 329-700,,Građani Županije,,1,2,Krapinsko-zagorska županija,313,Donja Stubica,49240,Donja Stubica,Toplička cesta,10,,2459363.55,5092052.99," 15° 58' 14"""," 45° 58' 50"""
10007,,55,15621,1,Gundulićeva poljana bb,1,Dubrovačko- neretvanska županija,020/ 322 552,,Građani Županije,,1,19,Dubrovačko-neretvanska županija,2086,Dubrovnik,20000,Dubrovnik,Gundulićeva poljana,0,BB,2015967.63,5257376," 18° 6' 35"""," 42° 38' 25"""
