#,BS ime,GIS koordinata horizontalna,GIS koordinata vertikalna
1,BELI MANASTIR,18.61847,45.76631
2,BJELOVAR JUŽNA OBILAZNICA,16.85168,45.88876
3,BUZET KORENIKA,13.97435,45.40897
4,CISTA VELIKA,16.90000,43.52700
5,ČAKOVEC JUG,16.42759,46.37777
6,DUGO SELO,16.27044,45.81192
7,DUGOPOLJE JUG,16.56050,43.583
8,DUGOPOLJE SJEVER,16.55891,43.58311
9,DRAGALIĆ JUG,17.28918,45.23294
10,ĐAKOVO NAZOROVA,18.41629,45.31813
11,HELENA ISTOK,16.19198,45.86894
12,HELENA ZAPAD,16.19296,45.87041
13,JANJČE ISTOK,15.37580,44.75088
14,JANJČE ZAPAD,15.37341,44.75143
15,KAŠTEL SUĆURAC,16.45580,43.54458
16,KOPRIVNICA ZAGREBAČKA,16.81232,46.16116
17,KRK VALBISKA,14.49788,45.02877
18,KUTINA ZAGREBAČKA,16.76332,45.48374
19,LABIN DUBROVA,14.12040,45.11796
20,MAJERJE,16.25091,46.33799
21,NADIN JUG,15.52883,44.06245
22,NADIN SJEVER,15.53166,44.06218
23,NOVIGRAD MARINA,13.56478,45.31846
24,NOVIGRAD TERRE,13.57395,45.31860
25,NOVSKA,16.97406,45.33165
26,OSIJEK DIVALTOVA,18.69201,45.54814
27,OSIJEK MANDIĆEVA,18.66819,45.55055
28,OSIJEK STROSSMAYEROVA,18.63734,45.56467
29,OZALJ,15.48535,45.59662
30,POREČ PICAL,13.60390,45.23640
31,PULA MUTILSKA,13.86312,44.86177
32,RIJEKA MLAKA,14.41833,45.33527
33,RUPA ISTOK,14.27553,45.44327
34,RUPA ZAPAD,14.27330,45.44243
35,SAVUDRIJA,13.50821,45.49210
36,SESVETE LJUDEVITA POSAVSKOG,16.10028,45.82367
37,SISAK FISTROVIĆEVA,16.37960,45.48217
38,SISAK ZAGREBAČKA,16.36029,45.49743
39,SLAVONSKA PARK,16.00956,45.79654
40,SPLIT DUJMOVAČA,16.47534,43.52589
41,STUPNIK ZAPAD,15.88109,45.74566
42,TUHOBIĆ,14.62637,45.32202
43,UMAG KOLODVORSKA,13.53037,45.43129
44,VALPOVO STROSSMAYEROVA,18.41407,45.67088
45,VARAŽDIN GOSPODARSKA,16.35699,45.30820
46,VARAŽDIN MIŠKININA,16.35663,46.30839
47,VARAŽDIN OPTUJSKA,16.30322,46.32193
48,VRATA JADRANA JUG,14.35000,45.35520
49,VRATA JADRANA SJEVER,14.35300,45.35550
50,VRSAR OBALA,13.60431,45.14830
51,VUKOVAR KUDELJARSKA,18.96026,45.37012
52,ZAČRETJE ISTOK,15.92009,46.06649
53,ZAČRETJE ZAPAD,15.91884,46.06788
54,ZADAR JADRANSKA,15.26475,44.10226
55,ZADAR ZAGREBAČKA,15.27447,44.12022
56,ZAGREB BRANIMIROVA,16.02580,45.81484
57,ZAGREB HOLJEVCA,15.98032,45.76912
58,ZAGREB JADRANSKA,15.92826,45.76799
59,ZAGREB LJUBLJANSKA JUG,15.90942,45.79584
60,ZAGREB SAMOBORSKA,15.86198,45.81202
61,ZAGREB SLAVONSKA 1,16.01230,45.79589
62,ZAGREB SLAVONSKA 2,16.05570,45.80138
63,ZAGREB VELIKOGORIČKA,16.01527,45.73346
64,ŽUPANJA VINKOVAČKA,18.69764,45.07897
65,ET VELIKA KOPANICA,18.41190,45.13390
